player_id,player_name,nationality,team,position,age,market_value_eur,goals,assists,shots,expected_goals_xg,expected_assists_xa,successful_passes,key_passes,dribbles_attempted,successful_dribbles,tackles,interceptions,player_rating,performance_score,distance_covered_km,goals_per_90,assists_per_90,defensive_actions_per_90,cluster,playing_style
P00001,Kylian Griezmann,French,France,Goalkeeper,24,16574124,0,0,0,0.0,0.0,164,4,7,0,0,5,2.3294117647058825,23.829411764705885,89.1,0.0,0.0,0.6766264068106957,2,Defensive Specialists
P00002,Antoine Tchouameni,French,France,Goalkeeper,29,53959475,0,0,0,0.0,0.0,154,6,5,0,0,3,1.961764705882353,20.323529411764707,79.9,0.0,0.0,0.6112258937918741,2,Defensive Specialists
P00003,Ousmane Hernandez,French,France,Goalkeeper,24,4935397,0,0,0,0.0,0.0,150,1,3,1,0,4,2.038235294117647,21.75,86.7,0.0,0.0,0.633569741320847,2,Defensive Specialists
P00004,Kylian Camavinga,French,France,Defender,27,3795900,0,0,8,0.06,0.01,472,9,8,0,41,31,3.473529411764705,35.86176470588235,141.1,0.0,0.0,6.038187879018813,1,Creative Playmakers
P00005,Antoine Kounde,French,France,Defender,24,21832889,0,2,7,0.18,0.2,873,12,6,0,43,41,4.270588235294118,43.14705882352941,138.70000000000002,0.0,0.0661764705882353,5.758652816512646,1,Creative Playmakers
P00006,Ousmane Upamecano,French,France,Defender,25,3260134,0,0,7,0.52,0.1,485,8,8,2,52,43,3.644117647058824,36.51470588235294,147.3,0.0,0.0,6.82249998949272,1,Creative Playmakers
P00007,Aurelien Rabiot,French,France,Defender,25,21875188,1,1,5,0.01,0.18,577,12,9,2,51,42,3.461764705882353,34.82941176470588,115.7,0.0339366515837104,0.031892274982282,6.726068100369051,1,Creative Playmakers
P00008,Eduardo Sissoko,French,France,Defender,22,3056356,0,1,13,0.22,0.04,515,11,8,1,35,32,3.979411764705883,40.32647058823529,155.79999999999998,0.0,0.0315126050420168,6.796689762982146,1,Creative Playmakers
P00009,Theo Varane,French,France,Defender,29,43758955,0,1,8,0.01,0.17,1123,9,6,0,61,55,4.985294117647059,49.76470588235294,174.1,0.0,0.0343773873185637,8.350055650459138,1,Creative Playmakers
P00010,Lucas Pavard,French,France,Defender,23,2280387,3,2,6,0.0,0.13,537,3,8,1,50,32,3.8735294117647054,39.91176470588236,153.5,0.1091116572272241,0.1240063593004769,6.429721097353753,1,Creative Playmakers
P00011,Randal Diarra,French,France,Defender,26,2897170,0,0,11,0.05,0.12,478,3,10,1,42,44,3.5264705882352945,36.95588235294117,154.7,0.0,0.0,6.308291389962657,1,Creative Playmakers
P00012,Olivier Badiashile,French,France,Defender,24,10428093,1,0,14,0.01,0.07,791,8,7,1,57,34,4.144117647058824,42.40588235294118,162.2,0.0294117647058823,0.0,6.096728710755268,1,Creative Playmakers
P00013,Kylian Maignan,French,France,Midfielder,27,5499220,2,4,10,0.21,0.92,466,16,13,1,28,18,3.0588235294117645,31.47058823529412,133.0,0.0670141474311243,0.1308823529411764,2.9122759443277526,2,Defensive Specialists
P00014,Antoine Saliba,French,France,Midfielder,28,17554435,0,7,7,0.64,1.19,618,27,22,5,24,17,3.4794117647058824,34.20882352941176,128.3,0.0,0.272241214798706,2.397623977033641,2,Defensive Specialists
P00015,Ousmane Konate,French,France,Midfielder,22,4399784,1,4,10,0.13,1.44,433,21,15,2,24,14,4.276470588235294,43.17352941176471,144.1,0.0372825186412593,0.228922168622651,2.479503556757954,1,Creative Playmakers
P00016,Aurelien Thuram,French,France,Midfielder,27,13339861,0,2,13,0.37,0.74,690,17,23,6,24,12,3.126470588235294,31.394117647058827,126.1,0.0,0.0699622572033508,3.1309414317665327,2,Defensive Specialists
P00017,Eduardo Olise,French,France,Midfielder,22,3760393,2,1,10,0.47,0.87,530,28,20,7,29,26,3.9558823529411766,40.04117647058824,157.7,0.0847113038763892,0.0383631713554987,3.6282581529786433,0,Elite Attackers
P00018,Theo Mukiele,French,France,Midfielder,18,51401700,2,7,20,0.7,2.3000000000000003,1106,37,56,18,50,29,4.638235294117647,46.62352941176471,223.6,0.1380710345255067,0.4176544344390989,3.606107897458574,0,Elite Attackers
P00019,Lucas Todibo,French,France,Midfielder,31,31444197,2,2,13,0.09,0.44,642,23,28,8,31,18,3.176470588235294,31.75588235294118,123.7,0.0588235294117647,0.0698529411764705,2.9363036997438705,2,Defensive Specialists
P00020,Randal Griezmann,French,France,Midfielder,20,80603351,1,3,16,0.06,0.8,741,31,33,9,22,12,3.338235294117647,34.923529411764704,114.6,0.0322812051649928,0.1062817847730056,2.5096242907594424,2,Defensive Specialists
P00021,Kylian Olise,French,France,Forward,22,13994073,5,2,34,0.8,0.93,320,16,36,11,11,8,3.75,37.48529411764706,132.9,0.1857710807327626,0.1616811497326203,0.8820839088870988,4,Balanced Players
P00022,Antoine Mukiele,French,France,Forward,23,1745271,2,2,20,0.93,0.14,182,16,19,3,9,1,2.9647058823529413,30.28529411764706,110.8,0.0757827324478178,0.1123539398781584,0.565562804068996,2,Defensive Specialists
P00023,Ousmane Todibo,French,France,Forward,24,23420128,6,2,59,3.75,0.7100000000000001,467,22,54,20,16,5,4.894117647058824,49.294117647058826,181.1,0.2107171864028502,0.0661764705882353,1.493334805628458,4,Balanced Players
P00024,Aurelien Griezmann,French,France,Forward,26,7661606,3,3,19,1.36,0.5700000000000001,224,17,30,10,10,5,3.794117647058824,37.91470588235294,139.4,0.1761230442130512,0.10562161898728,0.8567101768203186,4,Balanced Players
P00025,Eduardo Tchouameni,French,France,Forward,28,9165626,4,4,13,0.78,0.3,242,12,26,7,10,9,3.0176470588235293,30.63235294117647,119.3,0.1519328006714296,0.1215306980656013,0.9849000490488412,2,Defensive Specialists
P00026,Theo Hernandez,French,France,Forward,33,8331439,0,1,24,1.79,0.67,242,9,32,8,13,3,3.876470588235295,38.72941176470588,138.2,0.0,0.0311418685121107,1.095687113773168,2,Defensive Specialists
P00027,Joshua Musiala,German,Germany,Goalkeeper,27,16147932,0,0,0,0.0,0.0,119,1,7,0,0,4,1.5205882352941178,16.594117647058823,61.2,0.0,0.0,0.5054942485738333,2,Defensive Specialists
P00028,Jamal Havertz,German,Germany,Goalkeeper,23,10300842,0,0,0,0.0,0.0,158,2,6,0,0,8,1.8558823529411763,19.66176470588235,72.8,0.0,0.0,0.7492966850405677,2,Defensive Specialists
P00029,Leroy Schlotterbeck,German,Germany,Goalkeeper,29,11689568,0,0,0,0.0,0.0,264,2,5,0,0,6,2.8058823529411767,28.77058823529412,114.9,0.0,0.0,0.9909175687564796,2,Defensive Specialists
P00030,Joshua Rudiger,German,Germany,Defender,26,3359673,1,2,4,0.03,0.05,441,7,10,1,54,33,3.7176470588235295,37.89411764705883,140.9,0.0335070737155621,0.0718658504125632,7.729778861126471,1,Creative Playmakers
P00031,Jamal Goretzka,German,Germany,Defender,28,1406618,0,0,6,0.13,0.1,371,4,6,0,40,42,2.908823529411765,29.988235294117647,135.9,0.0,0.0,5.985436978965413,1,Creative Playmakers
P00032,Leroy Werner,German,Germany,Defender,29,72433298,1,2,11,0.04,0.22,747,12,7,1,28,40,3.735294117647059,37.96176470588235,118.6,0.0472689075630252,0.0736140255872199,6.084277991044266,1,Creative Playmakers
P00033,Kai Neuer,German,Germany,Defender,21,2213941,2,0,4,0.04,0.07,429,3,13,2,44,26,3.767647058823529,38.62058823529412,133.5,0.0738598810310641,0.0,6.367372097894002,1,Creative Playmakers
P00034,Antonio Gnabry,German,Germany,Defender,21,5171626,2,0,4,0.27,0.0,298,3,10,1,37,33,3.3000000000000003,34.08529411764706,101.3,0.0762015708692623,0.0,7.560516945411077,2,Defensive Specialists
P00035,Nico Ginter,German,Germany,Defender,24,81562649,0,1,8,0.01,0.16,796,7,9,0,36,52,3.6411764705882352,36.40588235294118,126.0,0.0,0.0326797385620915,5.701187367563672,1,Creative Playmakers
P00036,Leon Sule,German,Germany,Defender,25,37122019,2,1,8,0.24,0.27,1019,14,5,0,59,47,5.18235294117647,52.30588235294118,159.8,0.0714514066496163,0.0853889943074003,7.624602831840073,1,Creative Playmakers
P00037,Florian Brandt,German,Germany,Defender,31,1573030,1,1,9,0.12,0.34,428,8,12,0,52,50,4.511764705882353,44.96470588235294,158.3,0.1393188854489164,0.0322812051649928,8.029072149921186,1,Creative Playmakers
P00038,Timo Henrichs,German,Germany,Defender,27,2921243,1,1,7,0.22,0.19,561,6,9,0,53,41,4.1000000000000005,40.476470588235294,160.7,0.0339366515837104,0.0343773873185637,7.630871230184191,1,Creative Playmakers
P00039,Joshua Tah,German,Germany,Midfielder,23,3362502,1,1,6,0.27,0.36,494,11,26,6,23,14,3.502941176470588,35.48823529411764,136.0,0.0401069518716577,0.0401069518716577,2.494330911428268,2,Defensive Specialists
P00040,Jamal Koch,German,Germany,Midfielder,24,48977955,5,5,19,0.35,2.58,1161,54,39,13,46,19,5.108823529411764,51.52941176470589,175.5,0.1697383498854087,0.1563647638683074,4.339422311048616,0,Elite Attackers
P00041,Leroy Klostermann,German,Germany,Midfielder,27,12569783,3,0,8,0.1399999999999999,0.17,380,12,19,5,36,21,3.7235294117647055,38.17352941176471,138.1,0.1024653485299715,0.0,3.5605155093315157,1,Creative Playmakers
P00042,Kai Can,German,Germany,Midfielder,24,53991561,0,3,24,0.22,1.3,1153,51,45,13,30,29,4.408823529411765,44.98235294117647,177.1,0.0,0.1604397042465484,3.257572175406392,0,Elite Attackers
P00043,Antonio Fulle,German,Germany,Midfielder,24,5214898,0,2,4,0.18,0.9,369,13,13,3,17,15,2.485294117647059,25.4,92.0,0.0,0.0683823529411764,1.908914890414091,2,Defensive Specialists
P00044,Nico Volland,German,Germany,Midfielder,25,42603093,2,6,29,0.71,2.79,1130,49,40,13,31,26,4.81764705882353,48.37647058823529,182.8,0.0731366409153457,0.2667786890319514,4.056830774705249,0,Elite Attackers
P00045,Leon Gotze,German,Germany,Midfielder,34,6709983,7,0,12,0.37,1.47,549,30,19,4,26,21,3.605882352941176,36.36176470588235,153.1,0.2341142222228412,0.0,2.9952717668535,4,Balanced Players
P00046,Florian Musiala,German,Germany,Midfielder,22,14187209,2,2,25,0.7,1.34,794,32,23,6,29,22,3.802941176470589,38.72941176470588,160.4,0.0632493076878027,0.0628304692663582,2.9397334104334227,0,Elite Attackers
P00047,Joshua Fulle,German,Germany,Forward,29,41857821,4,3,53,2.51,1.32,493,28,49,16,10,7,4.235294117647059,43.17941176470588,149.6,0.2359575409111012,0.1777343408371377,0.9958372260041334,4,Balanced Players
P00048,Jamal Volland,German,Germany,Forward,25,8963942,2,0,14,0.76,0.66,229,17,30,9,7,7,3.335294117647059,33.61764705882353,133.7,0.060553633217993,0.0,1.1830435182444696,2,Defensive Specialists
